sample_id,species_A,species_B,species_C
S0,0.3745401188473625,0.03142918568673425,0.5940306954659033
S1,0.9507143064099162,0.6364104112637804,0.0
S2,0.7319939418114051,0.3143559810763267,0.0
S3,0.5986584841970366,0.5085706911647028,0.0
S4,0.15601864044243652,0.907566473926093,0.0
S5,0.15599452033620265,0.24929222914887494,0.5947132505149224
S6,0.05808361216819946,0.41038292303562973,0.5315334647961708
S7,0.8661761457749352,0.7555511385430487,0.0
S8,0.6011150117432088,0.22879816549162246,0.17008682276516873
S9,0.7080725777960455,0.07697990982879299,0.21494751237516152
S10,0.020584494295802447,0.289751452913768,0.6896640527904295
S11,0.9699098521619943,0.16122128725400442,0.0
S12,0.8324426408004217,0.9296976523425731,0.0
S13,0.21233911067827616,0.808120379564417,0.0
S14,0.18182496720710062,0.6334037565104235,0.18477127628247592
S15,0.18340450985343382,0.8714605901877177,0.0
S16,0.3042422429595377,0.8036720768991145,0.0
S17,0.5247564316322378,0.18657005888603584,0.2886735094817263
S18,0.43194501864211576,0.8925589984899778,0.0
S19,0.2912291401980419,0.5393422419156507,0.16942861788630736
S20,0.6118528947223795,0.8074401551640625,0.0
S21,0.13949386065204183,0.8960912999234932,0.0
S22,0.29214464853521815,0.3180034749718639,0.38985187649291797
S23,0.3663618432936917,0.11005192452767676,0.5235862321786315
S24,0.45606998421703593,0.22793516254194168,0.3159948532410224
S25,0.7851759613930136,0.4271077886262563,0.0
S26,0.19967378215835974,0.8180147659224931,0.0
S27,0.5142344384136116,0.8607305832563434,0.0
S28,0.5924145688620425,0.006952130531190703,0.40063330060676683
S29,0.046450412719997725,0.5107473025775657,0.44280228470243654
S30,0.6075448519014384,0.417411003148779,0.0
S31,0.17052412368729153,0.22210781047073025,0.6073680658419782
S32,0.06505159298527952,0.1198653673336828,0.8150830396810377
S33,0.9488855372533332,0.33761517140362796,0.0
S34,0.9656320330745594,0.9429097039125192,0.0
S35,0.8083973481164611,0.32320293202075523,0.0
S36,0.3046137691733707,0.5187906217433661,0.17659560908326322
S37,0.09767211400638387,0.7030189588951778,0.19930892709843828
S38,0.6842330265121569,0.363629602379294,0.0
S39,0.4401524937396013,0.9717820827209607,0.0
S40,0.12203823484477883,0.9624472949421112,0.0
S41,0.4951769101112702,0.25178229582536416,0.25304079406336566
S42,0.034388521115218396,0.49724850589238545,0.46836297299239615
S43,0.9093204020787821,0.30087830981676966,0.0
S44,0.2587799816000169,0.2848404943774676,0.45637952402251547
S45,0.662522284353982,0.036886947354532795,0.30059076829148523
S46,0.31171107608941095,0.6095643339798968,0.0787245899306922
S47,0.5200680211778108,0.5026790232288615,0.0
S48,0.5467102793432796,0.05147875124998935,0.401810969406731
S49,0.18485445552552704,0.27864646423661144,0.5364990802378615
S50,0.9695846277645586,0.9082658859666537,0.0
S51,0.7751328233611146,0.23956189066697242,0.0
S52,0.9394989415641891,0.1448948720912231,0.0
S53,0.8948273504276488,0.489452760277563,0.0
S54,0.5978999788110851,0.9856504541106007,0.0
S55,0.9218742350231168,0.2420552715115004,0.0
S56,0.0884925020519195,0.6721355474058786,0.23937195054220195
S57,0.1959828624191452,0.7616196153287176,0.04239752225213722
S58,0.045227288910538066,0.23763754399239967,0.7171351670970623
S59,0.32533033076326434,0.7282163486118596,0.0
S60,0.388677289689482,0.3677831327192532,0.24353957759126477
S61,0.2713490317738959,0.6323058305935795,0.09634513763252461
S62,0.8287375091519293,0.6335297107608947,0.0
S63,0.3567533266935893,0.5357746840747585,0.10747198923165224
S64,0.28093450968738076,0.0902897700544083,0.6287757202582109
S65,0.5426960831582485,0.835302495589238,0.0
S66,0.14092422497476265,0.32078006497173583,0.5382957100535015
S67,0.8021969807540397,0.18651851039985423,0.0112845088461061
S68,0.07455064367977082,0.040775141554763916,0.8846742147654653
S69,0.9868869366005173,0.5908929431882418,0.0
S70,0.7722447692966574,0.6775643618422824,0.0
S71,0.1987156815341724,0.016587828927856152,0.7846964895379714
S72,0.005522117123602399,0.512093058299281,0.4823848245771166
S73,0.8154614284548342,0.22649577519793795,0.0
S74,0.7068573438476171,0.6451727904094499,0.0
S75,0.7290071680409873,0.17436642900499144,0.09662640295402125
S76,0.7712703466859457,0.690937738102466,0.0
S77,0.07404465173409036,0.3867353463005374,0.5392200019653722
S78,0.3584657285442726,0.9367299887367345,0.0
S79,0.11586905952512971,0.13752094414599325,0.746609996328877
S80,0.8631034258755935,0.3410663510502585,0.0
S81,0.6232981268275579,0.11347352124058907,0.263228351931853
S82,0.3308980248526492,0.9246936182785628,0.0
S83,0.06355835028602363,0.877339353380981,0.05910229633299535
S84,0.3109823217156622,0.2579416277151556,0.4310760505691822
S85,0.32518332202674705,0.659984046034179,0.014832631939073915
S86,0.7296061783380641,0.8172222002012158,0.0
S87,0.6375574713552131,0.5552008115994623,0.0
S88,0.8872127425763265,0.5296505783560065,0.0
S89,0.4722149251619493,0.24185229090045168,0.285932783937599
S90,0.1195942459383017,0.09310276780589921,0.7873029862557991
S91,0.713244787222995,0.8972157579533268,0.0
S92,0.7607850486168974,0.9004180571633305,0.0
S93,0.5612771975694962,0.6331014572732679,0.0
S94,0.770967179954561,0.3390297910487007,0.0
S95,0.49379559636439074,0.3492095746126609,0.15699482902294837
S96,0.5227328293819941,0.7259556788702394,0.0
S97,0.42754101835854963,0.8971102599525771,0.0
S98,0.02541912674409519,0.8870864242651173,0.08749444899078751
S99,0.10789142699330445,0.7798755458576239,0.11223302714907168
